379,75	7,44%	2,58%	5,27%	0,76%
365,40	-0,20%	-1,45%	2,36%	-0,59%
375,44	5,52%	8,50%	10,55%	0,92%
385,51	1,52%	9,07%	4,13%	6,86%
405,17	10,88%	10,66%	9,28%	13,50%
417,77	11,27%	17,41%	20,73%	23,01%
410,29	6,43%	8,04%	16,08%	10,83%
395,68	-2,34%	8,29%	8,07%	6,72%
376,22	-9,95%	0,21%	5,74%	8,72%
374,90	-8,63%	-2,75%	-1,28%	6,07%
